RPM Profile #1
Measured RPM: 0

--- CW Direction Harmonics ---
order : amplitude : phase_rad
1 : 7.0 : 2.5780
2 : 30.0 : 2.0610
7 : 4.0 : 0.9500
10 : 14.0 : -2.0590
12 : 284.0 : -0.0080
13 : 6.0 : 1.7900
14 : 95.0 : -0.4580
16 : 8.0 : -1.2990
24 : 24.0 : 1.1310
26 : 4.0 : -2.0470
28 : 60.0 : -0.6900
30 : 7.0 : -1.7170
34 : 16.0 : -0.3570
36 : 90.0 : 1.5590
38 : 14.0 : 0.5820
40 : 5.0 : -0.3820
42 : 10.0 : 2.1990
48 : 13.0 : 1.0760
60 : 8.0 : 2.1390
84 : 7.0 : -1.5230

--- CCW Direction Harmonics ---
order : amplitude : phase_rad
1 : 9.0 : 2.6130
2 : 32.0 : 2.4880
7 : 4.0 : 0.2780
10 : 15.0 : -2.1140
12 : 284.0 : -0.0980
13 : 6.0 : 1.8240
14 : 96.0 : -0.6250
16 : 8.0 : -1.4680
24 : 23.0 : 0.9850
28 : 60.0 : -0.8760
30 : 8.0 : -1.9600
34 : 15.0 : -0.5680
36 : 89.0 : 1.3450
38 : 13.0 : 0.4240
40 : 6.0 : -0.6640
42 : 9.0 : 1.8520
48 : 13.0 : 0.7130
60 : 7.0 : 1.6680
70 : 4.0 : 1.4060
84 : 7.0 : -2.0020

--- Combined DFT Harmonics ---
order : amplitude : phase_rad
1 : 7.0 : 2.5950
2 : 30.0 : 2.2740
7 : 3.0 : 0.6140
10 : 14.0 : -2.0860
12 : 284.0 : -0.0530
13 : 5.0 : 1.8070
14 : 95.0 : -0.5410
16 : 7.0 : -1.3830
24 : 23.0 : 1.0570
28 : 59.0 : -0.7820
30 : 7.0 : -1.8380
34 : 15.0 : -0.4620
36 : 89.0 : 1.4520
38 : 13.0 : 0.5030
40 : 5.0 : -0.5220
42 : 9.0 : 2.0250
48 : 12.0 : 0.8940
60 : 7.0 : 1.9030
70 : 3.0 : 1.6820
84 : 6.0 : -1.7620
